,Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex,NewColumn,TimeSecs
399,42,23,0,1,b,4327,1,28,M,840,4.327
400,42,24,150,0,n,2922,1,28,M,840,2.922
401,42,25,150,0,n,4404,1,28,M,840,4.404
402,42,26,50,0,n,2038,1,28,M,840,2.038
403,42,27,50,1,b,2104,1,28,M,840,2.104
404,42,28,100,1,b,3422,1,28,M,840,3.422
405,42,29,0,1,b,1448,1,28,M,840,1.448
406,42,30,0,0,n,2359,1,28,M,840,2.359
407,42,31,150,1,b,4509,1,28,M,840,4.509
408,42,32,100,0,n,4421,1,28,M,840,4.421
409,42,33,50,1,b,1469,1,28,M,840,1.469
410,42,34,100,1,b,3887,1,28,M,840,3.887
411,42,35,150,1,b,6079,1,28,M,840,6.079
412,42,36,0,0,n,1421,1,28,M,840,1.421
413,42,37,100,1,b,4345,1,28,M,840,4.345
414,42,38,150,0,n,3924,1,28,M,840,3.924
415,42,39,0,1,b,2386,1,28,M,840,2.386
416,42,40,50,0,n,1192,1,28,M,840,1.192
417,42,41,150,1,b,3168,1,28,M,840,3.168
418,42,42,0,0,n,1885,1,28,M,840,1.885
419,42,43,100,1,b,3126,1,28,M,840,3.126
420,42,44,150,0,n,2528,1,28,M,840,2.528
421,42,45,50,0,n,1417,1,28,M,840,1.417
422,42,46,100,0,n,2253,1,28,M,840,2.253
423,42,47,0,1,b,1444,1,28,M,840,1.444
424,42,48,50,1,b,2868,1,28,M,840,2.868
425,42,49,100,0,n,1499,1,28,M,840,1.499
426,42,50,150,0,n,1766,1,28,M,840,1.766
427,42,51,0,1,b,1450,1,28,M,840,1.45
428,42,52,0,0,n,1538,1,28,M,840,1.538
429,42,53,100,1,b,3575,1,28,M,840,3.575
430,42,54,50,0,n,1074,1,28,M,840,1.074
431,42,55,150,1,b,3933,1,28,M,840,3.933
432,42,56,50,1,b,1537,1,28,M,840,1.537
433,42,57,150,0,n,1215,1,28,M,840,1.215
434,42,58,100,0,n,5474,1,28,M,840,5.474
435,42,59,150,1,b,2103,1,28,M,840,2.103
436,42,60,100,1,b,2622,1,28,M,840,2.622
437,42,61,0,1,b,1269,1,28,M,840,1.269
438,42,62,0,0,n,1910,1,28,M,840,1.91
439,42,63,50,0,n,2203,1,28,M,840,2.203
440,42,64,50,1,b,2095,1,28,M,840,2.095
441,42,65,150,0,n,1774,1,28,M,840,1.774
442,42,66,0,1,b,1585,1,28,M,840,1.585
443,42,67,150,1,b,3076,1,28,M,840,3.076
444,42,68,0,0,n,1570,1,28,M,840,1.57
445,42,69,50,0,n,1990,1,28,M,840,1.99
446,42,70,50,1,b,1570,1,28,M,840,1.57
447,42,71,100,1,b,2271,1,28,M,840,2.271
448,42,72,100,0,n,5183,1,28,M,840,5.183
449,42,73,100,1,b,2283,1,28,M,840,2.283
450,42,74,100,0,n,2056,1,28,M,840,2.056
451,42,75,150,1,b,4546,1,28,M,840,4.546
452,42,76,0,0,n,2784,1,28,M,840,2.784
453,42,77,0,1,b,4371,1,28,M,840,4.371
454,42,78,50,1,n,6574,0,28,M,840,6.574
455,42,79,50,0,n,1258,1,28,M,840,1.258
456,42,80,150,0,n,4483,1,28,M,840,4.483
457,42,81,50,0,n,3224,1,28,M,840,3.224
458,42,82,0,1,b,1155,1,28,M,840,1.155
459,42,83,150,0,n,1474,1,28,M,840,1.474
460,42,84,50,1,b,2201,1,28,M,840,2.201
461,42,85,100,1,b,1460,1,28,M,840,1.46
462,42,86,0,0,n,1754,1,28,M,840,1.754
463,42,87,150,1,n,1561,0,28,M,840,1.561
464,42,88,100,0,n,2044,1,28,M,840,2.044
465,42,89,100,0,n,1741,1,28,M,840,1.741
466,42,90,50,1,b,2361,1,28,M,840,2.361
467,42,91,0,1,b,1173,1,28,M,840,1.173
468,42,92,150,1,b,2900,1,28,M,840,2.9
469,42,93,150,0,n,4222,1,28,M,840,4.222
470,42,94,50,0,n,1560,1,28,M,840,1.56
471,42,95,100,1,b,1847,1,28,M,840,1.847
472,42,96,0,0,n,5854,1,28,M,840,5.854
473,32,1,0,0,n,6150,1,24,F,640,6.15
474,32,2,150,0,n,4895,1,24,F,640,4.895
475,32,3,150,1,b,2134,1,24,F,640,2.134
476,32,4,100,1,b,4117,1,24,F,640,4.117
477,32,5,50,1,b,3010,1,24,F,640,3.01
478,32,6,50,0,n,4412,1,24,F,640,4.412
479,32,8,0,1,b,1782,1,24,F,640,1.782
480,32,9,150,0,n,3708,1,24,F,640,3.708
481,32,10,150,1,b,3272,1,24,F,640,3.272
482,32,11,50,0,n,3692,1,24,F,640,3.692
483,32,12,0,0,n,2915,1,24,F,640,2.915
484,32,13,0,1,b,1470,1,24,F,640,1.47
485,32,14,100,0,n,2417,1,24,F,640,2.417
486,32,15,100,1,b,4307,1,24,F,640,4.307
487,32,16,50,1,b,2744,1,24,F,640,2.744
488,32,17,100,0,n,3646,1,24,F,640,3.646
489,32,18,150,1,b,2289,1,24,F,640,2.289
490,32,19,50,0,n,2609,1,24,F,640,2.609
491,32,20,50,1,b,1947,1,24,F,640,1.947
492,32,21,100,0,n,3525,1,24,F,640,3.525
493,32,22,0,0,n,1747,1,24,F,640,1.747
494,32,23,0,1,b,2135,1,24,F,640,2.135
495,32,24,150,0,n,2745,1,24,F,640,2.745
496,32,25,150,0,n,4276,1,24,F,640,4.276
497,32,26,50,0,n,2154,1,24,F,640,2.154
498,32,27,50,1,b,1736,1,24,F,640,1.736
499,32,28,100,1,b,3319,1,24,F,640,3.319
500,32,29,0,1,b,1588,1,24,F,640,1.588
